Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,City,State,Car_Description
baleno,2014,10.66,22.7,37983,CNG,Dealer,Manual,1,Friedmanfurt,Illinois,Street simple resource a better give.
sx4,2016,1.58,29.41,150736,CNG,Individual,Automatic,2,Davidborough,Utah,Finally behavior sometimes easy evening tell.
alto 800,2000,6.91,30.97,197106,CNG,Dealer,Manual,2,New Brendaberg,Kentucky,Song benefit never explain maintain central.
ertiga,2017,18.3,13.14,59807,CNG,Dealer,Automatic,0,Youngville,Tennessee,Week clear environmental administration.
wagon r,2007,1.41,12.1,110167,Diesel,Dealer,Automatic,2,East Amber,Utah,Need training source throughout adult must real order.
alto 800,2013,5.95,31.7,181476,Petrol,Dealer,Manual,1,Lewisport,Texas,Often us guy commercial politics fund save.
ertiga,2019,19.54,10.28,88501,Petrol,Individual,Manual,2,Lanceshire,Virginia,Cost ahead movement believe space.
baleno,2015,13.41,13.63,144042,Petrol,Dealer,Automatic,1,Scottmouth,Kentucky,Hard ready allow present.
ritz,2002,10.06,30.23,172518,Petrol,Individual,Manual,1,Lake Christopher,New Mexico,Available customer fall.
dzire,2020,6.73,34.93,104569,Petrol,Individual,Automatic,1,New Marthaside,Florida,System pretty whole.
wagon r,2019,22.08,28.66,183424,CNG,Individual,Manual,1,East Kimberly,Wyoming,Reality born drug data word.
sx4,2011,2.74,14.37,94761,Petrol,Dealer,Manual,0,Jimeneztown,Tennessee,Art special national fear data minute.
ritz,2005,8.78,28.14,188336,Petrol,Dealer,Manual,2,Thomasbury,Rhode Island,Government catch today girl executive field character.
alto 800,2002,4.46,3.86,153556,Petrol,Individual,Manual,1,Murrayberg,Arkansas,Break music speak just present soldier.
wagon r,2008,9.99,15.56,180171,Petrol,Individual,Automatic,1,Raymondbury,Alabama,Player inside increase.
alto 800,2022,9.69,13.31,96786,Diesel,Dealer,Manual,2,Lake Brendafurt,Illinois,Thank some buy have Democrat along appear those.
swift,2022,20.77,8.76,32756,CNG,Individual,Manual,2,Justinview,Connecticut,Catch either success determine.
swift,2008,17.57,12.73,112792,CNG,Dealer,Automatic,1,Susantown,Pennsylvania,Baby several no mother worry.
dzire,2017,8.23,12.57,41957,Diesel,Individual,Automatic,0,Sanchezburgh,Virginia,Expect per usually bring have.
alto 800,2023,5.5,14.99,122912,CNG,Individual,Automatic,0,East Charles,Maine,Operation middle five tree case suggest next program.
dzire,2005,8.1,2.4,83489,CNG,Individual,Manual,0,Warrenmouth,South Dakota,Full threat protect process keep society mother.
sx4,2001,2.52,20.19,115941,Diesel,Individual,Manual,2,Rileyfurt,Wyoming,Along sometimes conference serve visit sure name.
s cross,2020,15.52,31.16,12098,Diesel,Individual,Automatic,0,Haynesshire,Tennessee,Follow whether land gun.
dzire,2011,22.72,33.79,8816,CNG,Dealer,Automatic,0,East Joshua,Louisiana,Or right section fill.
baleno,2023,23.64,20.67,70852,CNG,Individual,Automatic,0,South Tracy,Mississippi,Spring meet detail different require.
ciaz,2002,12.02,7.58,193040,CNG,Dealer,Manual,2,North Austin,California,Finally your at government job suddenly news.
ritz,2003,11.39,26.87,136473,CNG,Dealer,Automatic,0,Patrickville,Idaho,Federal wind hear a only kid per.
swift,2015,14.41,19.61,123523,Diesel,Individual,Manual,1,Port Patricia,Washington,Away east weight indicate.
s cross,2023,12.17,26.68,178660,CNG,Dealer,Automatic,2,Jonathanhaven,Utah,Win action discover himself describe.
baleno,2015,19.63,12.13,145448,CNG,Dealer,Manual,2,Davidport,Pennsylvania,Front return sea pretty discussion say.
swift,2016,11.87,25.68,44952,Diesel,Dealer,Manual,1,West Adriana,New York,Go bed doctor customer represent have.
swift,2009,18.83,30.52,119203,CNG,Dealer,Manual,2,Port Jonathanmouth,Louisiana,City care spring large artist radio national major.
alto 800,2019,13.36,28.13,47840,CNG,Dealer,Manual,2,New Jeffrey,Illinois,Action garden mother think yes star store.
sx4,2014,22.32,10.32,20472,CNG,Dealer,Manual,2,East Markborough,Connecticut,Administration agree school good.
vitara brezza,2005,12.4,4.6,26196,Petrol,Individual,Manual,1,West Matthew,Mississippi,Beautiful several fish might.
ciaz,2019,22.14,8.32,134885,Diesel,Individual,Manual,1,Masonstad,Texas,Anything hope few.
baleno,2016,17.9,6.14,154733,Diesel,Dealer,Automatic,1,Jessicashire,Vermont,Save but big senior yes however tonight.
ertiga,2022,5.34,31.95,187112,CNG,Dealer,Manual,2,Rodriguezborough,Connecticut,Car price learn involve attack next.
dzire,2021,6.81,21.36,133221,CNG,Dealer,Manual,0,Joannshire,Montana,Inside any head yard.
ertiga,2014,2.14,22.61,127388,Petrol,Dealer,Manual,0,Carolynport,Delaware,Agency production education beyond where especially cover.
swift,2000,16.09,12.78,4247,Petrol,Individual,Automatic,1,Lake Jenniferside,Michigan,Air size chance high kind only brother.
dzire,2018,23.14,19.92,49463,CNG,Dealer,Manual,2,New Davidburgh,Wisconsin,Mouth place middle whom hair eye high.
ritz,2019,11.92,33.97,22867,Diesel,Individual,Automatic,2,West Judith,Kansas,Safe cover direction stop head.
wagon r,2003,4.03,24.82,58500,CNG,Individual,Automatic,2,Matthewbury,Utah,Newspaper fund learn eight.
baleno,2008,24.3,8.93,100937,CNG,Dealer,Manual,1,New Rickybury,Illinois,Recently role modern.
alto 800,2021,10.55,30.11,7935,Diesel,Individual,Automatic,2,South Savannah,Wisconsin,Provide him big also executive size ago.
ritz,2007,22.14,6.8,74888,Petrol,Individual,Manual,2,Bradleyside,Arkansas,Wait fall quite and friend firm sea wind.
ertiga,2014,3.75,12.89,138296,Petrol,Individual,Automatic,2,Reneehaven,New Mexico,Space suddenly network happy born herself important.
alto 800,2000,5.35,3.53,152910,CNG,Dealer,Manual,0,New Brandon,Delaware,Leader agree group school individual water.
ritz,2009,8.65,19.58,48401,Petrol,Dealer,Automatic,2,Robertfort,New Hampshire,Measure visit office finish.
baleno,2005,18.68,10.51,48420,Petrol,Individual,Manual,2,Hernandezland,South Carolina,Land economic little.
baleno,2013,13.46,34.18,67101,Diesel,Individual,Automatic,2,Courtneyside,Montana,Woman someone learn face poor.
wagon r,2022,8.11,21.12,61092,Petrol,Individual,Manual,0,Michaelmouth,Connecticut,Society college where compare feel edge.
ciaz,2017,8.71,25.71,66905,Petrol,Individual,Automatic,0,Lake Amychester,Delaware,Teach science yard technology.
ritz,2017,22.44,33.57,155044,Petrol,Dealer,Manual,2,West Ashley,Nevada,Either song ahead able tend ago.
baleno,2023,18.64,11.79,10105,CNG,Individual,Manual,0,Peterchester,West Virginia,Discover lot old top gun.
ciaz,2013,8.84,31.31,126305,Diesel,Dealer,Manual,0,North Cindy,Kansas,Four career class ago every relate collection both.
alto 800,2015,13.97,26.33,22159,Diesel,Individual,Automatic,1,East Stefanie,Kansas,Dinner different accept some position around.
wagon r,2010,16.71,25.96,161924,Diesel,Individual,Automatic,0,Dicksonbury,Maryland,Whole feel fear soon staff occur stop.
ciaz,2002,13.29,7.13,191744,CNG,Dealer,Manual,2,Gibsonfort,Montana,Law likely different PM.
wagon r,2023,14.87,24.18,196457,Diesel,Dealer,Automatic,0,South David,Idaho,Give suffer watch head recognize should final.
s cross,2016,12.99,16.44,114577,CNG,Individual,Manual,0,Amymouth,Vermont,Into threat can professor month movie picture.
swift,2011,13.43,2.76,51697,CNG,Dealer,Automatic,0,Lake Jamiechester,Rhode Island,Mr especially dark teacher exist especially for.
baleno,2003,8.33,33.88,115424,Diesel,Individual,Automatic,2,Stoutborough,Arkansas,Lose past too reveal rule.
ertiga,2016,20.3,24.57,49773,Diesel,Dealer,Manual,2,Millertown,Kentucky,Thousand herself something rock table long though.
swift,2018,6.44,14.75,156433,Petrol,Dealer,Manual,2,North Tammyhaven,Michigan,Product cold between rather.
sx4,2003,23.82,34.48,177488,CNG,Individual,Manual,1,Timothyland,Georgia,Cold kind east personal.
sx4,2017,22.67,12.71,103484,Diesel,Dealer,Automatic,1,Kathleenshire,Nebraska,Camera start pay cover also writer water.
ritz,2017,9.62,6.44,139302,Diesel,Dealer,Automatic,2,Charleston,Iowa,Collection really letter out protect.
s cross,2011,18.41,18.0,105767,Petrol,Dealer,Automatic,2,New Nicole,Mississippi,Long building threat kitchen.
wagon r,2016,13.41,30.49,40819,Diesel,Individual,Automatic,2,Port Joshuamouth,Montana,Daughter decide face window remember test.
ritz,2001,9.61,19.06,99956,CNG,Dealer,Automatic,2,Chapmanport,Oklahoma,Listen rest piece tree.
wagon r,2021,22.15,7.08,14518,CNG,Individual,Automatic,1,New Derek,Indiana,Bed its room begin.
vitara brezza,2008,13.93,6.38,62673,Diesel,Individual,Manual,0,Adamborough,Maine,Science manage former rate that.
ertiga,2019,21.28,30.52,69225,Petrol,Individual,Manual,0,Lake Michaelshire,Louisiana,Religious decade last conference allow people attorney.
baleno,2014,7.23,33.77,68202,CNG,Dealer,Manual,1,Katelynton,New Mexico,Area collection simply anyone know population art.
swift,2000,14.0,25.75,76396,Diesel,Individual,Automatic,1,Cobbberg,Oklahoma,Window year Democrat report reach mind will school.
alto 800,2021,4.21,8.79,45765,Petrol,Individual,Automatic,2,Fordfurt,Michigan,Foreign choose police themselves.
alto 800,2000,14.4,14.68,11482,Petrol,Dealer,Manual,2,North Jason,Oregon,Sea speak college.
ciaz,2000,18.84,6.67,64215,Petrol,Individual,Manual,0,West Angelaside,California,Of lose huge without age population.
swift,2023,21.94,15.73,146618,Diesel,Dealer,Automatic,2,East Larry,Kentucky,Them marriage century successful.
wagon r,2011,2.36,7.03,14429,Petrol,Individual,Automatic,0,Garciachester,Virginia,But particular get.
dzire,2021,5.31,14.47,46016,Diesel,Dealer,Manual,2,East Jasonfort,Washington,Job almost a research campaign.
alto 800,2013,15.55,23.39,136144,Petrol,Individual,Automatic,2,Bobbyberg,Virginia,On change machine environment.
sx4,2011,6.37,34.86,61400,CNG,Dealer,Manual,2,Tonifurt,Wyoming,Story human only.
wagon r,2003,1.93,31.92,58172,Diesel,Individual,Automatic,2,South Meganmouth,Minnesota,Simple once parent car collection strong crime.
baleno,2002,12.41,17.85,51605,Petrol,Dealer,Manual,0,West Sarahland,Michigan,Loss upon agree when measure draw.
sx4,2015,2.27,14.13,184566,CNG,Dealer,Manual,0,South Gordon,Utah,Teacher play remain effort recognize guy simple.
ciaz,2002,24.64,15.24,165130,Petrol,Dealer,Automatic,1,East Amanda,Idaho,Its inside site safe might deep western main.
alto 800,2016,7.62,32.44,88614,CNG,Individual,Automatic,0,East Amandabury,Tennessee,Dog leave response share.
sx4,2023,7.22,11.42,65867,Diesel,Dealer,Automatic,0,West Cherylberg,North Carolina,Avoid reduce rich firm believe gas wrong cost.
ertiga,2009,24.12,8.0,188327,Petrol,Individual,Manual,2,North Kimberly,Maine,Phone movie herself enter hit.
baleno,2022,23.73,10.32,49390,CNG,Individual,Manual,1,New Vanessa,Indiana,Prepare us thing establish exactly Mrs sister reality.
wagon r,2009,21.0,31.37,71506,Diesel,Individual,Automatic,2,East Wendy,Utah,Character trouble old hard a wonder.
wagon r,2000,7.82,19.09,99472,Petrol,Dealer,Manual,0,West Dawn,Illinois,Describe opportunity carry father.
baleno,2022,19.61,3.37,69352,Petrol,Individual,Manual,1,Aliciachester,Idaho,Campaign movie build industry.
alto 800,2002,4.12,28.62,70238,Diesel,Dealer,Automatic,1,Christianstad,Texas,Better admit trouble listen.
ritz,2021,16.9,16.67,65512,Diesel,Individual,Automatic,2,Libury,Pennsylvania,Live mother lawyer million most.
sx4,2016,15.76,9.39,127994,Diesel,Dealer,Manual,1,Christopherbury,Mississippi,Coach forget stage sure special will visit.
ertiga,2016,5.28,26.74,127986,Petrol,Individual,Manual,0,Ingramborough,Alaska,Better quite color political already.
baleno,2022,16.26,4.98,107554,Petrol,Dealer,Manual,0,North Sarah,Tennessee,Continue happy country offer as than.
s cross,2001,20.13,8.88,58869,CNG,Individual,Automatic,0,Jamesland,Rhode Island,American same some real information child.
alto 800,2006,22.22,18.1,139013,Diesel,Dealer,Manual,0,New Annette,Louisiana,Find arm early.
alto 800,2020,12.61,3.18,78481,Diesel,Dealer,Automatic,1,Robertbury,Hawaii,After international manager act pay.
wagon r,2019,16.52,7.08,115263,Diesel,Dealer,Manual,2,Schneiderland,Idaho,Establish difference player trial.
s cross,2017,4.88,16.61,132823,Petrol,Dealer,Automatic,0,Reedside,Oklahoma,Fact last generation.
s cross,2000,19.83,16.75,171006,CNG,Individual,Manual,1,South Scottfort,New York,Whatever minute knowledge south.
ciaz,2018,18.65,33.01,140617,CNG,Dealer,Manual,2,Julieview,Pennsylvania,Always just indeed lose product.
sx4,2012,14.81,7.71,22020,Petrol,Individual,Automatic,2,West Matthew,Georgia,Trade difference able test ground.
ciaz,2002,6.16,13.12,27756,Petrol,Individual,Manual,2,Williamton,New York,About only health yard.
vitara brezza,2008,21.04,7.98,123791,Petrol,Individual,Manual,0,Lake Dave,New Hampshire,Chair front pull fear home school alone.
swift,2004,19.98,23.47,199614,Petrol,Individual,Automatic,0,Lawsonstad,Tennessee,Risk effort take leg whose lawyer reality.
wagon r,2011,14.49,18.42,24076,CNG,Individual,Automatic,1,North Sheilabury,Mississippi,If whether citizen doctor item exist author score.
sx4,2002,21.06,8.27,153753,CNG,Individual,Manual,1,Roberthaven,South Carolina,Assume if early pattern.
ritz,2012,10.56,5.86,103199,CNG,Dealer,Automatic,1,New Ericaport,Delaware,Everyone year actually old skin generation.
alto 800,2015,8.26,23.04,195385,Diesel,Dealer,Manual,2,Jenniferfurt,Nebraska,Lot which prove water adult.
ritz,2007,6.68,29.41,82123,Diesel,Dealer,Manual,0,North Brandonport,New Mexico,Energy study off.
alto 800,2006,23.93,16.9,3645,Diesel,Dealer,Manual,2,Reedstad,Washington,Professional then laugh method.
ertiga,2014,23.63,16.27,97942,Diesel,Dealer,Manual,0,South Sarah,Arkansas,Season assume state.
vitara brezza,2003,4.27,26.41,73744,Petrol,Dealer,Automatic,0,New Christopher,Hawaii,Point anything walk woman.
baleno,2007,9.74,32.36,18228,CNG,Individual,Manual,0,Underwoodfort,New Hampshire,May service sing himself area well worry.
baleno,2013,18.38,28.44,164273,CNG,Individual,Manual,0,Cardenasport,Iowa,Necessary go everyone read.
vitara brezza,2005,16.34,2.25,111502,Petrol,Dealer,Automatic,2,Lake Travis,Nebraska,Lay various animal imagine animal student.
sx4,2013,6.61,14.8,56302,CNG,Individual,Automatic,0,South Thomas,North Dakota,Building leave involve agree answer couple.
ertiga,2013,4.34,15.63,10430,CNG,Individual,Automatic,0,North Benjaminside,Iowa,Attack business paper pick usually institution.
alto 800,2011,10.67,16.12,28804,Diesel,Dealer,Manual,2,Susanport,Nevada,Population inside door painting throughout but sit.
s cross,2015,4.8,16.88,58690,Petrol,Dealer,Automatic,0,North Barrystad,Washington,Everybody employee morning against pass company meeting.
ciaz,2013,17.01,28.4,156416,Diesel,Dealer,Manual,0,Lake Dean,Nevada,By professor culture end season may.
ritz,2021,22.88,3.11,115857,Petrol,Individual,Manual,1,Cookfort,Alabama,Leave vote weight card.
ritz,2002,7.37,7.65,19994,Diesel,Individual,Manual,1,Cartertown,Colorado,Table young morning show need impact.
ciaz,2015,16.27,23.99,128970,Petrol,Individual,Manual,2,South Jamesberg,New York,Environment anything hear score question.
ciaz,2007,12.39,32.03,135914,Petrol,Dealer,Manual,1,North Michelle,Hawaii,Letter defense station house.
baleno,2003,14.12,33.76,122276,Diesel,Dealer,Manual,2,Melissastad,New Jersey,Between kid mean west cold can car.
ciaz,2018,19.17,4.17,124573,Petrol,Individual,Automatic,2,West Geraldtown,Alabama,Send specific pay consumer.
ertiga,2000,21.73,22.12,45763,Petrol,Individual,Manual,1,Chadfurt,Colorado,Begin food admit school wall.
wagon r,2017,14.62,7.3,84833,Diesel,Individual,Automatic,1,South Christineburgh,Utah,Accept wind my left show office south.
s cross,2018,8.44,30.38,24463,Petrol,Dealer,Manual,0,Murphyview,Utah,Upon her my indeed.
dzire,2006,1.16,10.11,77497,Diesel,Individual,Manual,0,Billyshire,Illinois,Ready early participant simply set value newspaper.
ertiga,2019,1.34,5.33,167872,Diesel,Dealer,Automatic,1,Nicholasmouth,Missouri,Agency every scene instead happen sister.
ciaz,2006,7.72,20.84,15403,Petrol,Dealer,Manual,1,South Emily,Idaho,Here country four pressure billion reduce sport.
swift,2003,11.23,27.76,26060,Petrol,Individual,Automatic,2,Port Donald,Maryland,Address these executive responsibility firm current.
vitara brezza,2016,14.69,29.79,58190,Petrol,Dealer,Manual,2,West Anthonyburgh,New Mexico,Race make leg dream my catch.
wagon r,2008,3.26,7.1,49632,Diesel,Individual,Automatic,1,West Ericafort,Virginia,Character draw body can measure risk.
s cross,2008,11.69,28.36,59478,Diesel,Dealer,Manual,1,South James,Alabama,Someone however home gas act.
wagon r,2011,20.88,28.63,156888,Petrol,Dealer,Manual,2,South Travisland,Rhode Island,Theory share whatever all.
dzire,2012,2.29,17.45,134178,Petrol,Dealer,Automatic,2,Johnshire,Nebraska,Money movie example risk fight.
baleno,2016,15.56,27.35,118118,Petrol,Dealer,Automatic,0,Port Rachel,Washington,Live alone sing drop.
swift,2014,11.31,8.79,161794,Diesel,Dealer,Manual,1,Lake Michaelbury,Iowa,Let system capital hotel.
ritz,2005,15.3,8.97,193251,CNG,Dealer,Automatic,0,West Mary,New Mexico,Produce role hotel life short.
vitara brezza,2010,3.81,17.95,121887,CNG,Dealer,Manual,1,West Ashleyport,Oklahoma,Peace seem language hospital nature page course.
dzire,2020,16.11,26.83,21297,CNG,Dealer,Automatic,2,West Maria,Louisiana,Ready apply wife city any way.
sx4,2017,3.35,9.55,2419,CNG,Dealer,Automatic,0,Riddleshire,Alabama,Likely forward character simple.
wagon r,2017,8.17,20.32,199809,CNG,Individual,Manual,2,North William,Colorado,To role dinner scientist.
alto 800,2021,19.95,18.98,170249,CNG,Dealer,Automatic,1,East Michael,Maine,Outside deep not past.
ertiga,2010,16.78,26.57,85835,Petrol,Dealer,Manual,0,North Jamieshire,Iowa,Wife agent involve live speak gas.
baleno,2017,1.54,31.23,137275,CNG,Individual,Manual,2,Owenston,Idaho,Anything remain drop boy.
ciaz,2018,11.4,33.32,174246,CNG,Individual,Manual,1,Grossstad,Wisconsin,Control land never kid.
baleno,2009,24.14,24.55,73111,CNG,Individual,Automatic,2,New Kristin,Nevada,Structure sport special until then cultural technology.
ritz,2009,2.33,19.34,183203,Diesel,Dealer,Automatic,1,Spencerfort,New Jersey,Table eat new.
vitara brezza,2002,7.51,17.27,186239,Petrol,Individual,Manual,1,West Jonathan,Massachusetts,Control dream compare unit law.
alto 800,2016,10.92,22.96,127176,CNG,Individual,Automatic,2,Hernandezstad,California,Indicate agency enter often.
s cross,2006,10.59,15.03,127956,CNG,Dealer,Manual,2,Blakemouth,Utah,Heart real eight of.
baleno,2016,20.3,33.87,69075,Diesel,Dealer,Automatic,2,Ashleyshire,Hawaii,Thing sport break within.
dzire,2019,21.71,29.77,129549,CNG,Individual,Automatic,1,Dunntown,Minnesota,Charge end above affect star.
ciaz,2008,21.06,10.32,149761,Diesel,Individual,Automatic,1,Liuton,West Virginia,Beautiful center half stop her able industry.
s cross,2013,18.82,27.45,113451,Petrol,Dealer,Manual,0,East Margaretborough,New Mexico,Hour main debate nice time she film.
wagon r,2009,3.62,16.26,5645,Diesel,Individual,Manual,2,New Jessicaborough,Washington,Look fund prepare large candidate listen guess.
ciaz,2008,4.78,2.2,144233,Diesel,Individual,Automatic,1,Lake Brianafort,Michigan,Employee floor middle story worry choice guy.
baleno,2006,17.06,22.34,154923,Petrol,Dealer,Automatic,0,Tamarahaven,Nebraska,Offer because draw ahead interest.
s cross,2019,10.33,7.84,132321,Petrol,Individual,Automatic,0,Joyton,Nebraska,Baby my cold.
baleno,2019,3.63,15.15,68163,CNG,Dealer,Manual,2,Lake Michael,Hawaii,Exactly land audience.
swift,2011,22.28,3.78,95433,Diesel,Dealer,Automatic,0,Donnabury,Alabama,Want film under success.
wagon r,2001,14.46,12.45,27056,CNG,Individual,Automatic,1,Christophermouth,Mississippi,Mind evidence election party down.
wagon r,2023,5.11,24.24,131702,Diesel,Individual,Automatic,2,Lake Margaretview,Ohio,Open car artist stage.
alto 800,2012,1.13,13.56,140545,Petrol,Dealer,Automatic,1,East Mariaton,Arkansas,Everybody Republican my hot.
sx4,2016,8.93,3.96,181142,Diesel,Individual,Manual,1,Matthewland,Alaska,Leader side which cover work list able.
ciaz,2017,1.88,19.53,156362,Diesel,Individual,Automatic,1,Port Donnastad,Kansas,Do billion less moment realize organization.
baleno,2019,1.21,24.57,137731,Petrol,Individual,Automatic,0,Russellview,Vermont,Than lot follow stock there a Mr.
ritz,2001,16.47,32.3,81668,CNG,Dealer,Automatic,1,Port Sydneyshire,Maryland,Not music force.
wagon r,2001,18.26,10.92,95509,Petrol,Dealer,Manual,2,Lake Alec,North Dakota,Civil mind continue vote article continue yeah.
sx4,2021,20.03,4.87,58655,Diesel,Dealer,Automatic,0,Sandrahaven,Idaho,Really fill impact maybe industry market kid.
baleno,2002,6.08,4.74,58420,CNG,Dealer,Manual,1,North Codyhaven,Maine,However work ask international could still.
ciaz,2020,7.42,13.44,104636,Diesel,Individual,Manual,2,North Sethhaven,West Virginia,Laugh meet develop control.
baleno,2010,7.36,30.11,116255,CNG,Dealer,Automatic,2,Mitchellton,Virginia,Culture turn fear general from quickly if.
swift,2020,11.59,34.61,150916,CNG,Individual,Manual,0,South Christineborough,Wyoming,Few myself early various.
ritz,2005,24.57,30.77,170626,CNG,Dealer,Automatic,2,Santosmouth,Missouri,Approach someone dream newspaper prepare.
ritz,2015,14.04,3.54,65707,Diesel,Dealer,Manual,0,New Brittney,South Carolina,New security threat back seek.
s cross,2021,2.18,7.56,177215,Diesel,Individual,Manual,0,Alvarezport,Georgia,Note idea television.
ciaz,2019,5.3,23.77,199353,Petrol,Individual,Manual,2,East Shawnland,New York,Order itself customer budget if.
